Tweet,Created Date,Retweets,Favourites,Engagement,No of Hashtags,No of User Mentions,No of URLS added,No of Media added,Tweeted Username,Replied To Username,Post Type,Media Type,Is Quote Tweet,Is Retweeted,Language,Country,Location,Location Full Name,Location Type,Hashtags,User Mentions,URLS Used,Media URLS,Name,Username,Created Date (Handles) ,Language (Handles) ,Tweets,Followers,Friends,Favourites (Handles) ,Listed Count,Location (Handles) ,Protected,Verified,URL,Description,Profile Image URL,Account Age in Days,Avg Tweets per day
"My top 5 films in 2019:
1. Parasite 
2. Border
3. The Irishman 
4. A Elephant Sitting Still
5. Cold War 
The rest on random order:
The House That Jack Built
Capharnaum
Spider- Man: Into the Spider-Verse
Joker
Marriage Story https://t.co/FqNmEqlRhQ",2019/12/22 12:59,2883,18864,21747,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMXNaApU4AUppLr.jpg,http://pbs.twimg.com/media/EMXNaArU4AEtFye.jpg,http://pbs.twimg.com/media/EMXNaArU4AItKgo.jpg,http://pbs.twimg.com/media/EMXNaCOVAAAvsTw.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Well at the end I bought both limited and normal version of pamphlet. Now I’m going to watch STAR WARS THE RISE OF SKY WALKER. https://t.co/ZVgQm1asvp,2019/12/21 18:44,343,5829,6172,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMTSvh_UUAAS-zF.jpg,http://pbs.twimg.com/media/EMTSvh_UcAABjTD.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"My top 5 films this year.
1. Parasite 
2. Border
3. The Irishman 
4. A Elephant Sitting Still
5. Cold War https://t.co/FoeWleP7aQ",2019/12/21 10:38,3979,25131,29110,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMRjkLKUYAAGV-c.jpg,http://pbs.twimg.com/media/EMRjkLKVAAA3KiZ.jpg,http://pbs.twimg.com/media/EMRjkLfUEAItKMD.jpg,http://pbs.twimg.com/media/EMRjkRCUYAAVemi.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
1/1size BB Pod connected to BB in the game modified by Sunao Hashimoto from Meiji University and Tomu Kawata. https://t.co/nKoMqaGr6b,2019/12/20 21:35,203,2383,2586,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMOwSDRVAAAFhL9.jpg,http://pbs.twimg.com/media/EMOwSDOVUAA6MsQ.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Dear Sam ""Porter"" Bridges in the world, thanks for delivering packages. It has been 6 weeks since the launch. Pls enjoy connecting people this weekend and holiday season.Thank you
TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding    
#TomorrowIsInYourHands https://t.co/eWHNvPdOIf",2019/12/20 11:22,632,4616,5248,4,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EMMkBYvUUAEqQpq.jpg,http://pbs.twimg.com/media/EMMkBYxUwAEs3cn.jpg,http://pbs.twimg.com/media/EMMkBYzU4AcAD_3.jpg,http://pbs.twimg.com/media/EMMkBZbUYAAKPy-.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Good morning https://t.co/njjQkRxZDa,2019/12/20 8:45,46,963,1009,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMMAD3jUYAAvMi0.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Finally I was able to watch the special feature of “Sakyo Komatsu in 100 mins” on BD which was given to me a while ago. Thank you very much, now I’m going to watch MARRIGE STORY. https://t.co/Tuqp6UokAG",2019/12/20 7:41,79,1348,1427,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMLxX5vUUAAIYEo.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"This Album of GRIMM GRIMM’s CLIFFHANGER that I received from an Aussie friend was astonishingly good! Delicate, beautiful, my kind of music. He’s a Japanese artist living in London, this was the album from last year. I wish I could go his performance tonight in Shimokitazawa. https://t.co/DDh0M4op7s",2019/12/18 16:27,75,887,962,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EMDWukdU8AAwRtC.jpg,http://pbs.twimg.com/media/EMDWukgU8AATqju.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Bought Capricorn 1 on BD. https://t.co/ilCjAiBTOJ,2019/12/18 8:23,35,615,650,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EMBnxu0UYAARXyt.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Thank you very much for coming Kojima Productions fan event, hope you had a good time. https://t.co/yZQtBsRc3Z",2019/12/17 22:44,181,2199,2380,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EL_ja4bVAAAYmrT.jpg,http://pbs.twimg.com/media/EL_ja4aU8AALyl2.jpg,http://pbs.twimg.com/media/EL_ja4cVUAAcZh6.jpg,http://pbs.twimg.com/media/EL_ja4fVUAEgT64.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Visited PRIME1.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/4m1U8c5eTC",2019/12/17 17:34,304,1988,2292,4,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EL-cVWuVAAMeuBD.jpg,http://pbs.twimg.com/media/EL-cVWwUYAI8P2d.jpg,http://pbs.twimg.com/media/EL-cVXWUYAArxb3.jpg,http://pbs.twimg.com/media/EL-cVXXUUAA74iV.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
It’s time of the year JJ ships the holiday gift for us. Thank you I’ll make sure to build. https://t.co/2Aux1wYpx3,2019/12/17 17:33,74,1158,1232,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EL-cHLeUUAEz0zQ.jpg,http://pbs.twimg.com/media/EL-cHLfVAAAKv2B.jpg,http://pbs.twimg.com/media/EL-cHLdUEAAK-ng.jpg,http://pbs.twimg.com/media/EL-cHLfU8AAKAkw.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Received the year-end gift from Silent Poets, thank you very much. https://t.co/1sdNBmxGZE",2019/12/17 14:43,361,4328,4689,0,0,0,3,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EL91WeWUYAA5V89.jpg,http://pbs.twimg.com/media/EL91WeWUcAAwiU2.jpg,http://pbs.twimg.com/media/EL91WeaUUAEmJLF.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Dear people who came to the 4th anniversary and DEATH STRANDING celebrating party yesterday, thank you very much. It turned out to be the best 4th anniversary. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/BlV72xAIQ6",2019/12/17 6:22,384,4634,5018,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EL8CrpzUwAM_Pc0.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Received this autobiography of Captain Kirk from Takeshobo. Thank you very much. https://t.co/eXDfpmu5kC,2019/12/16 13:01,57,901,958,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EL4UOBHUYAAEGTx.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Received this statue from LAUREN TSAI. Thank you. https://t.co/jJ56pYCCgl,2019/12/16 12:59,1420,13774,15194,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EL4Ty7nUEAAt_bp.jpg,http://pbs.twimg.com/media/EL4Ty7kUEAAi7z_.jpg,http://pbs.twimg.com/media/EL4Ty7kUYAI8CGS.jpg,http://pbs.twimg.com/media/EL4Ty7lU4AE1m4_.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding    
#TomorrowIsInYourHands https://t.co/gywrbQbEDN",2019/12/16 10:30,247,2015,2262,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EL3xp4AVAAAovqH.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"On 2015/12/16 I established Kojima Productions. Back then only I had was this logo and the temp room. No office, no staffs, no machine, no engine, but I already had a vision of ""visiting plan"" to deliver the play to the new world as being a LUDENS.Thanks to all ppl who supported. https://t.co/PtIghKf0GX",2019/12/16 9:30,1619,13957,15576,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/EL3j699UUAEBQS2.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Bought ZERO POPULATION GROWTH on DVD. https://t.co/dRrxNB7U0f,2019/12/15 21:37,57,1072,1129,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/EL1AtqaU4AErCML.jpg,http://pbs.twimg.com/media/EL1AtqIU8AABg17.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Saw Jumanji Next Level. Like this film, inspire your courage in the game, get your trust back from friends, utilize your own abilities and save the world by cooperating each other. And such experience will connect to your real life. That’s exactly the power of game’s next level. https://t.co/MZwqKlJA4g",2019/12/15 12:20,740,6856,7596,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ELzBX2aUEAA4J_J.jpg,http://pbs.twimg.com/media/ELzBX2aUcAA9VIt.jpg,http://pbs.twimg.com/media/ELzBX2bU4AIbMau.jpg,http://pbs.twimg.com/media/ELzBX2bU8AE0vKx.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Bought the newly released THE CRAZIES by ROMERO on BD. https://t.co/YTJWhyoA9v,2019/12/15 9:52,101,1571,1672,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ELyfZFoUYAAD0jE.jpg,http://pbs.twimg.com/media/ELyfZF3UwEAmqy0.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
This is the stage costume design of CHVRCHES for TGA performance last night. I gave direction to Yoji to design as I wanted Lauren to be like Cleopatra to sing. Based on this concept design I asked Lauren to make her own. https://t.co/y4AiJmRydx,2019/12/14 3:27,3166,18868,22034,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ELr9ss-UwAAp-br.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Dear Sam “Porter” Bridges in the world, thanks for delivering packages. DS has been updated, we increased the text size too. Have fun in the weekend. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/xM7kqrBNpk",2019/12/14 2:27,700,7576,8276,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1205539806794502144/pu/img/bP1uGZ0Z0J25iFdn.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Now TGA is over, our 4th anniversary is coming on 12/16, I somehow made my 1st step. I hope to keep making a path by going forward for those youth who are on the way to follow. I’d like to take this opportunity to thank everyone who supported us &amp; Sam “Porter” Bridges out there. https://t.co/6ItytkD9Vf",2019/12/14 2:05,570,5451,6021,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ELrrD7FVAAAcXqV.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Received this music sheet as “Strand” from Iian, Lauren and Martin of CHVRCHES after the TGA show. I’m so overwhelmed? https://t.co/pel8K1pE5c",2019/12/13 18:24,434,6815,7249,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ELqBZA7VAAA4kcz.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"My loved ones who I got connected with thru DEATH STRANDING. Lindsay, Norman, and CHVRCHES. I never ever let it go. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/kxeIJwgNT2",2019/12/13 16:52,1164,9971,11135,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/ELpsY9XU0AEmrrf.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"We received BEST GAME DIRECTION, BEST SCORE &amp; MUSIC, and BEST PERFORMANCE(Mads Mikkelsen playing Cliff) for DEATH STRANDING at TGA2019. Thank you very much. 

TOMORROW IS IN YOUR HANDS.
#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/GJ2xT2biPY",2019/12/13 16:40,3557,21153,24710,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/ELppptCUYAA9Mz4.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Thank you very much for this precious gift, Tim! https://t.co/kdbB5gC2rN",2019/12/13 8:46,141,2378,2519,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ELn9LCqU4AEZUe8.jpg,http://pbs.twimg.com/media/ELn9LCoUEAMuuvs.jpg,http://pbs.twimg.com/media/ELn9LCpVAAIDVaZ.jpg,http://pbs.twimg.com/media/ELn9LCqVUAAEGAU.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
With Tim Miller. https://t.co/tFCyjsrJSP,2019/12/13 5:19,284,4686,4970,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ELnNuhcU8AAVsTz.jpg,http://pbs.twimg.com/media/ELnNuhaUEAAEmRK.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Visited INSOMNIAC GAMES, thanks to Ted Price.

TOMORROW IS IN YOUR HANDS. https://t.co/TrG5vhSV4C",2019/12/12 10:57,471,6845,7316,0,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ELjRj5aUcAEAZ3B.jpg,http://pbs.twimg.com/media/ELjRj5aUEAExmyw.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHand https://t.co/tNCYgR9SAl",2019/12/12 3:38,47,390,437,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHand",,,http://pbs.twimg.com/ext_tw_video_thumb/1204832724202115074/pu/img/769f5ktrFZCcNuHw.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHand https://t.co/h5fcBuK2MM",2019/12/12 3:36,80,623,703,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHand",,,http://pbs.twimg.com/ext_tw_video_thumb/1204832096117649408/pu/img/geEw8Ci6TJ0GkJoc.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHand https://t.co/snurWt3Vyh",2019/12/12 3:34,77,578,655,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHand",,,http://pbs.twimg.com/ext_tw_video_thumb/1204831716575047681/pu/img/qAk8siSqD9kMhu5d.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Received a comment about DEATH STRANDING from J.J. Abrams who’s visiting in Japan this week. Thank you, JJ! 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/JWmfp9Pwuf",2019/12/11 16:24,958,6476,7434,4,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1204663027024289792/pu/img/7893UKTYJjOg915y.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
With Lindsay. https://t.co/w4CzSb30k2,2019/12/11 15:23,566,10855,11421,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ELfE9sWU8AAwPTP.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
